"","dataTime","stationName","so2Value","coValue","o3Value","no2Value","pm10Value"
"1","2022-02-11 15:00","신풍동","0.004","0.7","0.046","0.035","88"
"2","2022-02-11 15:00","인계동","0.003","0.5","0.042","0.042","91"
"3","2022-02-11 15:00","광교동","0.004","0.7","0.027","0.043","85"
"4","2022-02-11 15:00","영통동","0.004","0.7","0.050","0.031","104"
"5","2022-02-11 15:00","천천동","0.003","0.4","0.055","0.029","100"
"6","2022-02-11 15:00","경수대로(동수원)","0.004","0.8","0.032","0.055","133"
"7","2022-02-11 15:00","고색동","0.004","0.6","0.049","0.034","104"
"8","2022-02-11 15:00","호매실동","0.004","0.5","0.059","0.031","111"
"9","2022-02-11 15:00","대왕판교로(백현동)","0.003","0.7","0.031","0.048","104"
"10","2022-02-11 15:00","단대동","0.003","0.7","0.037","0.045","112"
"11","2022-02-11 15:00","정자동","0.004","0.8","0.039","0.040","98"
"12","2022-02-11 15:00","수내동","0.003","0.7","0.044","0.041","94"
"13","2022-02-11 15:00","성남대로(모란역)","0.003","0.8","0.022","0.048","95"
"14","2022-02-11 15:00","복정동","0.002","0.7","0.037","0.046","93"
"15","2022-02-11 15:00","운중동","0.003","0.8","0.044","0.036","94"
"16","2022-02-11 15:00","상대원동","0.003","0.7","0.037","0.040","98"
"17","2022-02-11 15:00","의정부동","0.005","0.5","0.065","0.018","69"
"18","2022-02-11 15:00","의정부1동","0.004","0.3","0.059","0.022","80"
"19","2022-02-11 15:00","송산3동","0.005","0.5","0.072","0.020","68"
"20","2022-02-11 15:00","안양8동","0.004","0.7","0.040","0.046","100"
"21","2022-02-11 15:00","부림동","0.003","0.6","0.029","0.047","97"
"22","2022-02-11 15:00","호계동","0.004","0.7","0.034","0.048","108"
"23","2022-02-11 15:00","안양2동","0.004","0.7","0.034","0.052","115"
"24","2022-02-11 15:00","철산동","0.004","0.8","0.032","0.057","113"
"25","2022-02-11 15:00","소하동","0.004","0.8","0.037","0.051","112"
"26","2022-02-11 15:00","고잔동","0.005","0.5","0.055","0.025","90"
"27","2022-02-11 15:00","원시동","0.011","0.5","0.047","0.029","100"
"28","2022-02-11 15:00","본오동","0.004","0.5","0.051","0.020","-"
"29","2022-02-11 15:00","원곡동","0.004","0.5","0.058","0.020","93"
"30","2022-02-11 15:00","부곡동1","0.005","0.5","0.051","0.030","105"
